,x,y,z
0,5.255511085280816,31.341568148940528,3.12
1,15.696643373911355,19.932218626232547,2.89
2,27.339116051495054,18.77074113970212,1.56
3,12.079483530973034,3.3928669257989896,1.82
4,36.24552876932554,20.19088637863629,2.4
5,28.2065733092042,2.704263059362058,3.5
6,33.516456736387006,2.027773599185936,1.68
7,41.57670665433887,-2.373052602808083,2.6
8,-1.539678614736071,-4.5470400288752355,3.44
9,13.721978645469765,-5.826851605634298,0.9
10,28.94460020110801,-6.393237493362676,2.55
11,40.85126893559027,-5.576634990732085,1.49
